회사명,종목코드,업종
이지스밸류플러스리츠,334890,부동산
프레스티지바이오로직스,334970,의약품 제조
프리시젼바이오,335810,의료기기 제조
IBKS제12호스팩,335870,금융 지원
비올,335890,의료기기 제조
타스컴,336040,연구개발
웨이버스,336060,소프트웨어 개발
두산퓨얼셀,336260,전기 장치 제조
솔루스첨단소재,336370,전자부품 제조
대신밸런스제8호스팩,336570,금융 지원
SK5호스팩,337450,금융 지원
유엑스엔,337840,의료기기 제조
브랜드엑스코퍼레이션,337930,서비스
NH프라임리츠,338100,부동산
뷰노,338220,인터넷 정보매개 서비스
교촌에프앤비,339770,음·식료품 도매
아이비김영,339950,교습 학원
하이제5호스팩,340120,금융 지원
SK6호스팩,340350,금융 지원
다보링크,340360,통신 장비 제조
세림B&G,340440,플라스틱제품 제조
티앤엘,340570,의료용품 제조
유일에너테크,340930,특수 목적용 기계 제조
하나금융15호스팩,341160,금융 지원
이앤에치,341310,섬유제품 제조
케이비제20호스팩,342550,금융 지원
HLB사이언스,343090,의료용품 제조
하나금융16호스팩,343510,금융 지원
신영스팩6호,344050,금융 지원
케이씨씨글라스,344820,유리제품 제조
이노진,344860,화학제품
센코,347000,전자부품 제조
케이프이에스제4호,347140,기타 금융
라이프시맨틱스,347700,소프트웨어 개발
피엔케이피부임상연구센타,347740,과학 및 기술 서비스
핌스,347770,전자부품 제조
알체라,347860,소프트웨어 개발
엠투아이,347890,정밀기기 제조
모비릭스,348030,소프트웨어 개발
고바이오랩,348150,연구개발
넥스틴,348210,특수 목적용 기계 제조
위드텍,348350,정밀기기 제조
엔켐,348370,화학물질 제조
데이드림엔터,348840,방송 컨텐츠 제작
제이알글로벌리츠,348950,부동산
이베스트스팩5호,349720,금융 지원
이지스레지던스리츠,350520,부동산
에스에이티이엔지,351320,특수 목적용 기계 제조
이삭엔지니어링,351330,컴퓨터 시스템 관리
IBKS제13호스팩,351340,금융 지원
씨앤씨인터내셔널,352480,화학제품
씨앤투스성진,352700,섬유제품 제조
클리노믹스,352770,의료용품 제조
하이브,352820,음반 제작
오비고,352910,컴퓨터 시스템 관리
인바이오,352940,농업 제품 제조
에이치엠씨제5호스팩,353060,금융 지원
에이치엠씨제4호스팩,353070,금융 지원
휴럼,353190,기타 식품 제조
대덕전자,353200,전자부품 제조
미래에셋대우스팩 5호,353490,금융 지원
오토앤,353590,자동차 부품
이지바이오,353810,사료 제조
엔젠바이오,354200,과학 및 기술 서비스
교보10호기업인수목적,355150,기타 금융
티엘비,356860,전자부품 제조
싸이버원,356890,소프트웨어 개발
코람코에너지리츠,357120,부동산
에이치피오,357230,기타 식품 제조
미래에셋맵스리츠,357250,부동산
석경에이티,357550,화학물질 제조
아모센스,357580,전자부품 제조
솔브레인,357780,화학제품
비트나인,357880,소프트웨어 개발
씨엔알리서치,359090,과학 및 기술 서비스
제노코,361390,통신 장비 제조
알비더블유,361570,음반 제작
SK아이이테크놀로지,361610,배터리 제조
삼영에스앤씨,361670,전자부품 제조
진시스템,363250,의료기기 제조
하나금융17호스팩,363260,금융 지원
티와이홀딩스,363280,기타 금융
큐라클,365270,연구개발
ESR켄달스퀘어리츠,365550,부동산
엔에이치스팩18호,365590,금융 지원
브이씨,365900,골프 용품 제조
공구우먼,366030,의류 소매업
신한제7호스팩,366330,금융 지원
플래티어,367000,소프트웨어 개발
DB금융스팩8호,367340,기타 금융
DB금융스팩9호,367360,금융 지원
유안타제7호스팩,367460,금융 지원
유안타제8호스팩,367480,금융 지원
파이버프로,368770,정밀기기 제조
블리츠웨이,369370,오락용품 제조
퓨런티어,370090,정밀기기 제조
풍원정밀,371950,전자부품 제조
하나머스트7호스팩,372290,금융 지원
아이티아이즈,372800,소프트웨어 개발
한컴라이프케어,372910,의료기기 제조
하인크코리아,373200,기타 제품 제조
LG에너지솔루션,373220,배터리 제조
유진스팩6호,373340,금융 지원
DL이앤씨,375500,토목 건설
피코그램,376180,기타 제품 제조
엘비루셈,376190,반도체 제조
씨유테크,376290,전자부품 제조
디어유,376300,소프트웨어 개발
노을,376930,의료기기 제조
원티드랩,376980,소프트웨어 개발
맥스트,377030,소프트웨어 개발
디앤디플랫폼리츠,377190,부동산
프롬바이오,377220,기타 식품 제조
카카오페이,377300,금융 지원
이지트로닉스,377330,전기 장치 제조
하이제6호스팩,377400,금융 지원
리파인,377450,서비스
마인즈랩,377480,소프트웨어 개발
삼성스팩4호,377630,금융 지원
화승알앤에이,378850,자동차 부품
이성씨엔아이,379390,건축기술
삼성머스트스팩5호,380320,금융 지원
엔에이치스팩19호,380440,금융 지원
케이카,381970,자동차 판매
지아이텍,382480,특수 목적용 기계 제조
지앤비에스엔지니어링,382800,특수 목적용 기계 제조
원준,382840,특수 목적용 기계 제조
F&F,383220,의복 제조
에코프로에이치엔,383310,화학제품
LX홀딩스,383800,기타 금융
한화플러스제2호스팩,386580,금융 지원
대신밸런스제10호스팩,387310,금융 지원
지투파워,388050,전기 장치 제조
하나금융19호스팩,388220,금융 지원
유일로보틱스,388720,특수 목적용 기계 제조
IBKS제16호스팩,388790,금융 지원
유진스팩7호,388800,금융 지원
지니너스,389030,연구개발
포바이포,389140,방송 컨텐츠 제작
엔에이치스팩20호,391060,금융 지원
엔에이치스팩21호,391710,금융 지원
토마토시스템,393210,소프트웨어 개발
신한제8호스팩,393360,금융 지원
SK리츠,395400,부동산
세아메카닉스,396300,금속 가공
미래에셋글로벌리츠,396690,부동산
엔에이치스팩22호,396770,금융 지원
대신밸런스제11호스팩,397500,금융 지원
교보11호스팩,397880,금융 지원
하나금융20호스팩,400560,금융 지원
NH올원리츠,400760,부동산
하이제7호스팩,400840,금융 지원
SK스퀘어,402340,기타 금융
켈스,402420,의료기기 제조
라피치,403360,소프트웨어 개발
디비금융스팩10호,404950,기타 금융
신한서부티엔디리츠,404990,부동산
IBKS제17호스팩,405350,금융 지원
신한제9호스팩,405640,금융 지원
하나금융21호스팩,406760,금융 지원
에스케이증권7호스팩,408920,금융 지원
한국제10호스팩,409570,금융 지원
미래에셋비전스팩1호,412930,금융 지원
키움제6호스팩,413600,금융 지원
유진스팩8호,413630,금융 지원
코람코더원리츠,417310,부동산
신영스팩7호,419270,금융 지원
글로벌에스엠,900070,기타 금융
애머릿지,900100,자동차 부품
이스트아시아홀딩스,900110,기타 금융
씨케이에이치,900120,기타 금융
엘브이엠씨,900140,자동차 판매
크리스탈신소재,900250,기타 금융
로스웰,900260,기타 금융
헝셩그룹,900270,기타 금융
골든센츄리,900280,기타 금융
GRT,900290,기타 금융
오가닉티코스메틱,900300,기타 금융
컬러레이,900310,기타 금융
윙입푸드,900340,기타 금융
SBI핀테크솔루션즈,950110,소프트웨어 개발
엑세스바이오,950130,의료용품 제조
잉글우드랩,950140,화학제품
코오롱티슈진,950160,의약물 제조
JTC,950170,종합 소매
SNK,950180,소프트웨어 개발
미투젠,950190,소프트웨어 개발
소마젠,950200,과학 및 기술 서비스
프레스티지바이오파마,950210,연구개발
네오이뮨텍,950220,연구개발
