회사명,종목코드,업종
디티알오토모티브,007340,배터리 제조
진양제약,007370,의약품 제조
네이처셀,007390,의약물 제조
에이프로젠 MED,007460,금속 가공
영신금속,007530,금속 가공
샘표,007540,기타 금융
일양약품,007570,의약품 제조
동방아그로,007590,농업 제품 제조
선도전기,007610,전기 장치 제조
이수페타시스,007660,전자부품 제조
대원,007680,건물 건설
국도화학,007690,화학물질 제조
F&F 홀딩스,007700,기타 금융
대명소노시즌,007720,상품 종합 도매
한일화학,007770,화학물질 제조
코리아써키트,007810,전자부품 제조
에스엠코어,007820,일반 목적용 기계 제조
서연,007860,기타 금융
태평양물산,007980,의복 제조
사조동아원,008040,곡물가공품 제조
대덕,008060,기타 금융
대동전자,008110,통신 장비 제조
이건산업,008250,나무제품 제조
NI스틸,008260,1차 철강
원풍물산,008290,의복 제조
남선알미늄,008350,1차 비철금속 제조
원풍,008370,플라스틱제품 제조
문배철강,008420,1차 철강
부스타,008470,구조용 금속제품 제조
서흥,008490,화학제품
일정실업,008500,편조원단 제조
메리츠증권,008560,금융 지원
윌비스,008600,생활용품 도매
아남전자,008700,영상 및 음향기기 제조
율촌화학,008730,플라스틱제품 제조
호텔신라,008770,상품 소매
대동기어,008830,특수 목적용 기계 제조
금비,008870,유리제품 제조
한미사이언스,008930,기타 금융
동양철관,008970,1차 철강
케이씨티시,009070,도로 화물 운송
경인전자,009140,전자부품 제조
삼성전기,009150,전자부품 제조
SIMPAC,009160,특수 목적용 기계 제조
한솔로지스틱스,009180,운송 서비스
대양금속,009190,1차 철강
무림페이퍼,009200,"펄프, 종이 및 판지 제조"
한샘,009240,생활용품 도매
신원,009270,의복 제조
광동제약,009290,의약품 제조
삼아제약,009300,의약품 제조
참엔지니어링,009310,특수 목적용 기계 제조
대우부품,009320,자동차 부품
태영건설,009410,토목 건설
한올바이오파마,009420,의약품 제조
KC그린홀딩스,009440,기타 금융
경동나비엔,009450,가정용 기기 제조
한창제지,009460,"펄프, 종이 및 판지 제조"
삼화전기,009470,전자부품 제조
포스코엠텍,009520,1차 철강
한국조선해양,009540,선박 건조
무림P&P,009580,"펄프, 종이 및 판지 제조"
삼보산업,009620,1차 비철금속 제조
모토닉,009680,자동차 부품
코센,009730,1차 철강
삼정펄프,009770,"펄프, 종이 및 판지 제조"
엠에스씨,009780,기타 식품 제조
플레이그램,009810,전문 도매
한화솔루션,009830,화학물질 제조
명신산업,009900,자동차 부품
영원무역홀딩스,009970,기타 금융
한국내화,010040,"내화, 비내화 요업제품 제조"
우리종금,010050,기타 금융
OCI,010060,화학물질 제조
한국프랜지공업,010100,자동차 부품
엘에스일렉트릭,010120,전기 장치 제조
고려아연,010130,1차 비철금속 제조
삼성중공업,010140,선박 건조
대한광통신,010170,케이블 제조
흥국,010240,특수 목적용 기계 제조
쌍용정보통신,010280,컴퓨터 시스템 관리
우진아이엔에스,010400,건물설비 설치
한솔피엔에스,010420,전문 도매
오리콤,010470,광고
에스엠벡셀,010580,자동차 부품
웰바이오텍,010600,상품 중개
현대미포조선,010620,선박 건조
진양폴리우레탄,010640,플라스틱제품 제조
화천기계,010660,특수 목적용 기계 제조
화신,010690,자동차 부품
평화홀딩스,010770,자동차 부품
아이에스동서,010780,"내화, 비내화 요업제품 제조"
퍼스텍,010820,무기 제조
S-Oil,010950,석유 정제품 제조
삼호개발,010960,기반조성 및 시설물 축조
진원생명과학,011000,의약품 제조
경동제약,011040,의약품 제조
LG이노텍,011070,전자부품 제조
형지I&C,011080,의복 제조
에넥스,011090,가구 제조
CJ씨푸드,011150,기타 식품 제조
롯데케미칼,011170,화학물질 제조
HMM,011200,해상 운송
현대위아,011210,자동차 부품
삼화전자공업,011230,영상 및 음향기기 제조
태림포장,011280,종이 제품 제조
성안,011300,직물제품 제조
유니크,011320,자동차 부품
유니켐,011330,"가죽, 가방 제조"
서한,011370,건물 건설
부산산업,011390,"시멘트, 석회, 플라스터"
갤럭시아에스엠,011420,스포츠
한농화성,011500,화학제품
세보엠이씨,011560,건물설비 설치
와이투솔루션,011690,반도체 제조
한신기계공업,011700,일반 목적용 기계 제조
현대코퍼레이션,011760,상품 종합 도매
금호석유화학,011780,화학물질 제조
SKC,011790,화학제품
STX,011810,상품 종합 도매
신성이엔지,011930,반도체 제조
DB,012030,컴퓨터 시스템 관리
영흥,012160,1차 철강
아센디오,012170,방송 컨텐츠 제작
계양전기,012200,일반 목적용 기계 제조
영화금속,012280,자동차 부품
경동인베스트,012320,기타 금융
현대모비스,012330,자동차 부품
뉴인텍,012340,전자부품 제조
한화에어로스페이스,012450,항공기 부품 제조
더존비즈온,012510,컴퓨터 시스템 관리
센트럴인사이트,012600,일반 목적용 기계 제조
경인양행,012610,화학물질 제조
원일특강,012620,1차 철강
HDC,012630,기타 금융
모나리자,012690,종이 및 판지 제품 제조
리드코프,012700,전문 도매
에스원,012750,경비 및 경호
신일제약,012790,의약품 제조
대창,012800,1차 비철금속 제조
모베이스전자,012860,자동차 부품
세우글로벌,013000,전문 도매
하이록코리아,013030,1차 철강
동원개발,013120,건물 건설
아진산업,013310,자동차 부품
일성건설,013360,토목 건설
화승코퍼레이션,013520,자동차 부품
디와이,013570,기타 금융
계룡건설산업,013580,토목 건설
까뮤이앤씨,013700,건물 건설
CBI,013720,자동차 부품
스페코,013810,특수 목적용 기계 제조
지엠비코리아,013870,자동차 부품
지누스,013890,가구 제조
아가방컴퍼니,013990,생활용품 도매
메디앙스,014100,화학제품
한익스프레스,014130,도로 화물 운송
대영포장,014160,종이 제품 제조
원익큐브,014190,전문 도매
광림,014200,자동차 엔진 및 자동차 제조
금강공업,014280,1차 철강
영보화학,014440,플라스틱제품 제조
부방,014470,기타 금융
극동유화,014530,석유 정제품 제조
고려제약,014570,의약품 제조
태경비케이,014580,"시멘트, 석회, 플라스터"
성광벤드,014620,1차 철강
한솔케미칼,014680,화학물질 제조
사조씨푸드,014710,수산물 가공
한라,014790,토목 건설
동원시스템즈,014820,플라스틱제품 제조
유니드,014830,화학물질 제조
성문전자,014910,전자부품 제조
오리엔탈정공,014940,일반 목적용 기계 제조
삼륭물산,014970,종이 제품 제조
인디에프,014990,의복 제조
이스타코,015020,부동산
